"r","K_observed","K_expected","L"
1140,NA,4082813.8126053,NA
1141,NA,4089979.78544813,NA
1142,NA,4097152.04147628,NA
1143,NA,4104330.58068973,NA
1144,NA,4111515.40308849,NA
1145,NA,4118706.50867256,NA
1146,NA,4125903.89744193,NA
1147,NA,4133107.56939661,NA
1148,NA,4140317.5245366,NA
1149,NA,4147533.7628619,NA
1150,NA,4154756.2843725,NA
1151,NA,4161985.08906841,NA
1152,NA,4169220.17694963,NA
1153,NA,4176461.54801615,NA
1154,NA,4183709.20226798,NA
1155,NA,4190963.13970512,NA
1156,NA,4198223.36032757,NA
1157,NA,4205489.86413532,NA
1158,NA,4212762.65112838,NA
1159,NA,4220041.72130675,NA
1160,NA,4227327.07467043,NA
1161,NA,4234618.71121941,NA
1162,NA,4241916.6309537,NA
1163,NA,4249220.83387329,NA
1164,NA,4256531.3199782,NA
1165,NA,4263848.08926841,NA
1166,NA,4271171.14174392,NA
1167,NA,4278500.47740475,NA
1168,NA,4285836.09625088,NA
1169,NA,4293177.99828232,NA
1170,NA,4300526.18349907,NA
1171,NA,4307880.65190112,NA
1172,NA,4315241.40348848,NA
1173,NA,4322608.43826115,NA
1174,NA,4329981.75621913,NA
1175,NA,4337361.35736241,NA
1176,NA,4344747.241691,NA
1177,NA,4352139.40920489,NA
1178,NA,4359537.8599041,NA
1179,NA,4366942.59378861,NA
1180,NA,4374353.61085843,NA
1181,NA,4381770.91111355,NA
1182,NA,4389194.49455399,NA
1183,NA,4396624.36117973,NA
1184,NA,4404060.51099077,NA
1185,NA,4411502.94398713,NA
1186,NA,4418951.66016879,NA
1187,NA,4426406.65953576,NA
1188,NA,4433867.94208803,NA
1189,NA,4441335.50782562,NA
1190,NA,4448809.35674851,NA
1191,NA,4456289.4888567,NA
1192,NA,4463775.90415021,NA
1193,NA,4471268.60262902,NA
1194,NA,4478767.58429314,NA
1195,NA,4486272.84914256,NA
1196,NA,4493784.3971773,NA
1197,NA,4501302.22839734,NA
1198,NA,4508826.34280269,NA
1199,NA,4516356.74039334,NA
1200,NA,4523893.4211693,NA
