"id","n_local","converged","note","neighbours_at_radius"
1774,437,TRUE,"",437
1775,256,TRUE,"",256
1776,443,TRUE,"",443
1777,472,TRUE,"",472
1778,215,TRUE,"",215
1779,506,TRUE,"",506
1780,278,TRUE,"",278
1781,490,TRUE,"",490
1782,405,TRUE,"",405
1783,445,TRUE,"",445
1784,284,TRUE,"",284
1785,491,TRUE,"",491
1786,490,TRUE,"",490
1787,455,TRUE,"",455
1788,460,TRUE,"",460
1789,484,TRUE,"",484
1790,277,TRUE,"",277
1791,452,TRUE,"",452
1792,439,TRUE,"",439
1793,489,TRUE,"",489
1794,457,TRUE,"",457
1795,247,TRUE,"",247
1796,454,TRUE,"",454
1797,461,TRUE,"",461
1798,462,TRUE,"",462
1799,458,TRUE,"",458
1800,447,TRUE,"",447
1801,441,TRUE,"",441
