lon,lat,y,residual,Temperature,Shortwave radiation,soil-depth,Wind speed,Soil bulk density,Soil C,Soil N,Soil P,Soil pH,Soil CEC,Soil sand,Soil clay,Distance to manmade land,Distance to water,Slope,cos(Aspect),sin(Aspect),Elevation,Precipitation
118.83249,-31.488663,42,16.00801619,18.14064041,245.4541322,0.903646122,6.974969508,1.425070056,1.238592694,0.09783974,0.086867835,5.60938621,5.184740184,86.04218606,8.673389563,116.2418629,13.86074533,0.21513976,-0.034861338,0.003802013,395.98,3498.526015
118.83249,-32.488663,42.1,14.28269382,16.99444642,239.0688422,0.997961856,6.986160868,1.446535594,1.363740653,0.089420719,0.107748572,5.351790811,6.231489637,85.97594104,8.367454236,210.079978,12.49958574,0.22565437,-0.102067618,-0.112663042,350.7727273,3804.685104
118.83249,-33.488663,32.6,6.183587851,15.78247565,231.0089723,0.796893135,7.154068591,1.455466077,1.559046687,0.085011341,0.09911741,5.533760969,6.326445474,86.50102247,8.095138724,163.0425259,25.54245136,0.166518742,0.031210666,0.010450885,324.74,4134.093344
118.83249,-34.488663,16.16,-8.249969736,16.02199122,215.5941652,0.792934041,7.554598324,1.38291677,2.206005814,0.13087677,0.113145683,5.269997182,7.570930793,86.68486471,7.73030433,54.32213201,15.87056897,0.226737781,-0.051567406,0.198884736,97.79310345,5684.93668
119.33249,-20.988663,13.25,-2.820312765,27.89077557,267.455762,0.148119151,6.182913251,1.482520163,0.58054686,0.120099612,0.128890305,6.302079,6.208588889,78.41615833,13.21263611,359.1076645,42.69121501,0.266929334,-0.023756353,-0.032112143,165.0363636,4189.067344
119.33249,-22.488663,16.78,3.416843566,26.45787584,268.3576191,0.471557083,6.232498247,1.450821584,0.609149471,0.103758224,0.115512361,6.471351583,7.532730556,71.50333333,17.90704167,408.9047574,24.01417711,0.216322399,-0.086997319,-0.06242142,454.4181818,3587.721652
119.33249,-22.988663,33.72,13.56712835,25.28290614,267.2859169,0.44077236,6.231892272,1.436529497,0.67460711,0.131025611,0.146463389,5.388799638,7.912888889,74.14464167,16.21894722,236.7779941,81.12732513,0.358164853,-0.056973748,-0.056198021,633.93,3451.169738
119.33249,-27.488663,12.1,-7.381210389,22.18812293,261.0129938,0.253967039,7.06444055,1.51238087,0.532946585,0.0360875,0.127755286,5.359677154,6.398696916,79.40611849,13.06932361,490.1239442,26.7076572,0.162040178,-0.009866611,0.037953291,527.4818182,2484.402182
119.33249,-28.488663,5.320596155,-13.57764415,21.55423397,258.4639582,0.311563794,7.03414259,1.498120329,0.610958024,0.045575998,0.120807636,5.556479593,7.564851834,79.47784947,12.71707746,594.500509,17.7630617,0.139604501,-0.058334059,-0.008073293,439.75,2537.480241
119.33249,-28.988663,7.877966033,-10.14670635,20.97900955,256.6666118,0.321390305,7.050843802,1.493357143,0.591430277,0.051759222,0.121615972,5.676800362,7.130194444,80.20928056,12.12665,699.5825605,15.24311821,0.148329198,-0.031582795,-0.000959508,433.4545455,2711.054457
