"point_id","X","Y","best_model","best_dg","lon","lat"
193,-1854202.2103,-2379077.5088,"rpart",0.0073,114,-20.9355
194,-1324684.8122,-2314855.792,"rpart",0.203,119.1613,-20.9355
195,-793005.5436,-2272072.9766,"xgbTree",-1.0295,124.3226,-20.9355
196,-526626.3405,-2258744.3527,"xgbTree",-4.5617,126.9032,-20.9355
197,-393349.416,-2254098.4762,"knn",9.0001,128.1935,-20.9355
198,406679.1177,-2254502.4865,"knn",1.1757,135.9355,-20.9355
199,539951.282,-2259282.9689,"cubist",0.9077,137.2258,-20.9355
200,673168.4704,-2265409.2269,"rf",2.4222,138.5161,-20.9355
201,939383.1574,-2281696.4162,"cubist",-0.0682,141.0968,-20.9355
202,1603005.8357,-2345904.8532,"rpart",1.1157,147.5484,-20.9355
203,1999325.5467,-2400483.9007,"xgbTree",0.7525,151.4194,-20.9355
204,6718.6896,-2147688.0122,"knn",2.5842,132.0645,-20.0323
205,141090.1559,-2148434.4473,"cubist",0.6992,133.3548,-20.0323
206,1214392.631,-2203225.3065,"xgbTree",0.2051,143.6774,-20.0323
207,1615213.2096,-2246096.7625,"cubist",0.509,147.5484,-20.0323
208,1748508.733,-2263083.5675,"cubist",0.2564,148.8387,-20.0323
209,2279771.3211,-2344465.2142,"xgbTree",0.0723,154,-20.0323
210,-1882415.4845,-2180159.3705,"knn",9.9752,114,-19.129
211,-1748275.6179,-2161824.3706,"rpart",3.3279,115.2903,-19.129
212,-1613957.5181,-2144845.0973,"rpart",1.6491,116.5806,-19.129
213,-1075175.8126,-2090517.6683,"cubist",0.9859,121.7419,-19.129
214,-399334.5641,-2053278.675,"xgbTree",0.3305,128.1935,-19.129
215,818585.7941,-2072346.6179,"cubist",1.0089,139.8065,-19.129
216,953676.6765,-2081296.5413,"xgbTree",-6.8355,141.0968,-19.129
217,1223552.9294,-2103287.1244,"knn",0.4811,143.6774,-19.129
218,1492930.0533,-2130724.317,"knn",0.0799,146.2581,-19.129
219,2163467.7361,-2223067.2084,"knn",-0.2133,152.7097,-19.129
220,2296967.8892,-2245592.4204,"xgbTree",-0.7306,154,-19.129
221,-1896478.3005,-2081009.263,"knn",0.23,114,-18.2258
222,-265961.0385,-1949805.8795,"xgbTree",1.1957,129.4839,-18.2258
223,143216.3966,-1947946.1712,"cubist",1.0387,133.3548,-18.2258
224,279598.1375,-1950081.3841,"xgbTree",1.4054,134.6452,-18.2258
225,1639554.6107,-2047080.2659,"xgbTree",1.3346,147.5484,-18.2258
226,1909982.0539,-2082931.5059,"xgbTree",0.192,150.129,-18.2258
227,2179630.1875,-2124237.6491,"knn",-1.6633,152.7097,-18.2258
228,6870.3939,-1847280.3457,"rpart",1.1675,132.0645,-17.3226
229,556347.822,-1858658.8063,"xgbTree",1.5754,137.2258,-17.3226
230,830802.1789,-1872669.3862,"rpart",6.6251,139.8065,-17.3226
231,1378581.8857,-1917304.6427,"xgbTree",0.2656,144.9677,-17.3226
232,1787989.1004,-1965281.4693,"knn",0.1432,148.8387,-17.3226
233,2060038.471,-2004147.5448,"cubist",5.5648,151.4194,-17.3226
234,2331247.3061,-2048500.6689,"cubist",21.2038,154,-17.3226
235,-1787363.6247,-1864678.5942,"rpart",0.6466,115.2903,-16.4194
236,-1650042.4362,-1847319.6977,"cubist",0.7905,116.5806,-16.4194
237,-823071.6252,-1772362.0174,"xgbTree",1.178,124.3226,-16.4194
238,-546592.8976,-1758528.0508,"xgbTree",0.8418,126.9032,-16.4194
239,-269891.1496,-1750281.3504,"xgbTree",1.1158,129.4839,-16.4194
240,698691.0387,-1765445.6177,"xgbTree",1.3653,138.5161,-16.4194
241,974999.0126,-1782350.3209,"cubist",-17.2043,141.0968,-16.4194
242,1938205.8937,-1885374.1766,"knn",-3.5248,150.129,-16.4194
243,2211838.6227,-1927290.7015,"knn",-2.5386,152.7097,-16.4194
244,2348323.5768,-1950319.533,"rpart",9625.2008,154,-16.4194
245,-1800325.3271,-1766144.1471,"rpart",0.7895,115.2903,-15.5161
246,-1523521.639,-1732572.4316,"rpart",0.8937,117.871,-15.5161
247,-1384879.6695,-1717885.0085,"rpart",0.9846,119.1613,-15.5161
248,-1246096.3246,-1704598.5725,"rpart",1.0826,120.4516,-15.5161
249,-1107185.9761,-1692714.4997,"rpart",1.3219,121.7419,-15.5161
250,-968162.5788,-1682233.9839,"rpart",0.8989,123.0323,-15.5161
251,-689833.804,-1665487.7908,"cubist",0.8035,125.6129,-15.5161
252,-271848.3612,-1650917.3111,"xgbTree",0.9054,129.4839,-15.5161
253,-132445.4281,-1648875.6263,"xgbTree",0.9856,130.7742,-15.5161
254,6970.9073,-1648241.9802,"xgbTree",0.9902,132.0645,-15.5161
255,703757.8451,-1666191.5475,"rpart",4.12,138.5161,-15.5161
256,1259980.5805,-1705864.1285,"xgbTree",-0.5606,143.6774,-15.5161
257,1537377.6075,-1734118.1819,"rf",-1.7199,146.2581,-15.5161
258,1814147.2471,-1767969.4513,"knn",-9.2831,148.8387,-15.5161
259,1952261.4825,-1786989.8109,"knn",-10.8653,150.129,-15.5161
260,2365353.2797,-1852406.1416,"cubist",8.8765,154,-15.5161
261,-1115134.0684,-1593940.3624,"rpart",1.1259,121.7419,-14.6129
262,7020.9489,-1549148.5905,"xgbTree",1.0006,132.0645,-14.6129
263,287838.8966,-1552126.7513,"cubist",1.0176,134.6452,-14.6129
264,568539.4004,-1560776.394,"knn",1.7446,137.2258,-14.6129
265,849008.0378,-1575093.996,"cubist",-9.7614,139.8065,-14.6129
266,1129130.1547,-1595073.7042,"xgbTree",-0.1407,142.3871,-14.6129
267,1966276.0697,-1688892.4423,"knn",-19.1397,150.129,-14.6129
268,2243871.7001,-1731416.0256,"cubist",2.7001,152.7097,-14.6129
269,-1826132.9877,-1569955.1376,"rpart",0.962,115.2903,-13.7097
270,-1685833.1916,-1552219.7126,"rpart",0.8409,116.5806,-13.7097
271,-1404731.9173,-1521004.2042,"xgbTree",0.7742,119.1613,-13.7097
272,-1263959.1133,-1507527.3073,"knn",1.179,120.4516,-13.7097
273,-982041.1877,-1484842.1223,"cubist",0.775,123.0323,-13.7097
274,-840924.7147,-1475636.1395,"rpart",0.7433,124.3226,-13.7097
275,7070.8352,-1450362.8432,"knn",0.9682,132.0645,-13.7097
276,431253.6322,-1457003.9124,"knn",1.3928,135.9355,-13.7097
277,572579.0713,-1462073.2664,"knn",0.7758,137.2258,-13.7097
278,1278042.4,-1508811.005,"knn",-2.1531,143.6774,-13.7097
279,1418801.5207,-1522430.0741,"rpart",-0.0202,144.9677,-13.7097
280,1559415.9129,-1537470.0802,"xgbTree",-0.8491,146.2581,-13.7097
281,1980247.1476,-1591099.6239,"knn",-8.4215,150.129,-13.7097
282,2399260.6151,-1657453.6976,"knn",-5.2567,154,-13.7097
283,-846838.0992,-1377353.1947,"cubist",0.9127,124.3226,-12.8065
284,-562375.954,-1363119.7677,"xgbTree",0.8825,126.9032,-12.8065
285,-420051.6307,-1358158.5095,"xgbTree",0.9293,128.1935,-12.8065
286,291922.558,-1354922.5895,"rpart",4.4632,134.6452,-12.8065
287,861053.1832,-1378215.6777,"cubist",270.6426,139.8065,-12.8065
288,-1851771.1519,-1375054.6341,"rpart",1.0137,115.2903,-11.9032
289,-1424453.7819,-1325416.4495,"rpart",0.7667,119.1613,-11.9032
290,-995828.6465,-1288746.6667,"knn",1.0586,123.0323,-11.9032
291,-279616.6589,-1256535.0933,"xgbTree",1.1407,129.4839,-11.9032
292,-136230.1687,-1254435.0657,"cubist",0.9589,130.7742,-11.9032
293,293953.9472,-1256824.7435,"knn",1.1254,134.6452,-11.9032
294,437308.2577,-1260517.6197,"rf",1.87,135.9355,-11.9032
295,723868.323,-1272245.804,"knn",4.7196,138.5161,-11.9032
296,867044.9575,-1280279.9204,"xgbTree",2.1862,139.8065,-11.9032
297,1295985.5954,-1313052.0627,"rpart",0.0545,143.6774,-11.9032
298,1581309.4779,-1342113.4997,"rf",-3.3411,146.2581,-11.9032
299,1723736.6233,-1358803.9785,"cubist",15.5437,147.5484,-11.9032
300,1865988.045,-1376932.0979,"knn",-1.3534,148.8387,-11.9032
301,2149905.2529,-1417493.6607,"xgbTree",-4.3322,151.4194,-11.9032
302,-2007580.2277,-1297683.3606,"knn",1.5781,114,-11
303,-1002685.2471,-1191227.0124,"xgbTree",1.3538,123.0323,-11
304,-714431.8458,-1173883.6848,"rpart",0.9757,125.6129,-11
305,-281541.9096,-1158793.652,"xgbTree",0.9493,129.4839,-11
306,1161057.774,-1203246.6302,"cubist",-2.1466,142.3871,-11
307,1448626.9731,-1229605.1223,"knn",-13.1442,144.9677,-11
308,2164708.0422,-1320860.4709,"cubist",-8.7341,151.4194,-11
309,2307320.0821,-1343444.2075,"xgbTree",1.4083,152.7097,-11
310,2449696.8687,-1367467.1561,"xgbTree",-2.3387,154,-11
