"dataset","n_samples","repeat_id","model","mae","rmse"
"unscreened",894,26,"GOS",0.532276778458512,0.678342883657084
"unscreened",894,27,"MLR",0.562865477709254,0.718819095091499
"unscreened",894,27,"BCS",0.529291770133365,0.693998372566322
"unscreened",894,27,"GOS",0.52349758148539,0.688396314050557
"unscreened",894,28,"MLR",0.55859174520823,0.711261578374747
"unscreened",894,28,"BCS",0.54304411989258,0.707444303056861
"unscreened",894,28,"GOS",0.536707067142665,0.698363385604392
"unscreened",894,29,"MLR",0.56705492965001,0.712720569851208
"unscreened",894,29,"BCS",0.541821190425709,0.694541718037344
"unscreened",894,29,"GOS",0.530717836140462,0.686423388348512
"unscreened",894,30,"MLR",0.578693984117104,0.729564295155493
"unscreened",894,30,"BCS",0.546218570779308,0.703850666100199
"unscreened",894,30,"GOS",0.529703352772029,0.687558222995727
"unscreened",894,31,"MLR",0.566827345137781,0.725747954503672
"unscreened",894,31,"BCS",0.530891908304189,0.698474563132552
"unscreened",894,31,"GOS",0.526264738206322,0.690312799351916
"unscreened",894,32,"MLR",0.567704870254911,0.716047059510724
"unscreened",894,32,"BCS",0.53864855016153,0.687706471279993
"unscreened",894,32,"GOS",0.530279000697598,0.679017945364444
"unscreened",894,33,"MLR",0.560588227756152,0.717637226885865
"unscreened",894,33,"BCS",0.540346770698708,0.702365206939282
"unscreened",894,33,"GOS",0.536552013534643,0.69883995410824
"unscreened",894,34,"MLR",0.554854949704849,0.719850375548894
"unscreened",894,34,"BCS",0.526135744508052,0.686966218470468
"unscreened",894,34,"GOS",0.522740765333493,0.686628373084525
"unscreened",894,35,"MLR",0.544274596835466,0.701833171596824
"unscreened",894,35,"BCS",0.513252236969504,0.676491689013
"unscreened",894,35,"GOS",0.512613699830711,0.676752229178471
"unscreened",894,36,"MLR",0.576296795724929,0.723041373666957
"unscreened",894,36,"BCS",0.555695606786758,0.70700843495848
"unscreened",894,36,"GOS",0.544973052712859,0.70076475379719
"unscreened",894,37,"MLR",0.583721479038986,0.744854475145056
"unscreened",894,37,"BCS",0.56395021057732,0.716953250463451
"unscreened",894,37,"GOS",0.555961841093745,0.705437609462057
"unscreened",894,38,"MLR",0.534194077808897,0.675686672195155
"unscreened",894,38,"BCS",0.499179364492366,0.63854485752339
"unscreened",894,38,"GOS",0.493104887205708,0.627800226662817
"unscreened",894,39,"MLR",0.576598616649483,0.730926473103073
"unscreened",894,39,"BCS",0.553838326843985,0.706873107616448
"unscreened",894,39,"GOS",0.537158822551897,0.692228312703165
"unscreened",894,40,"MLR",0.550534123485513,0.695542025685036
"unscreened",894,40,"BCS",0.544801681915364,0.698047469855426
"unscreened",894,40,"GOS",0.535045260222404,0.692217413932784
"unscreened",894,41,"MLR",0.566562783968994,0.724112473118318
"unscreened",894,41,"BCS",0.552729314650077,0.713701057557423
"unscreened",894,41,"GOS",0.54253549809999,0.709124949333926
"unscreened",894,42,"MLR",0.594218216095806,0.751541608891811
"unscreened",894,42,"BCS",0.563327009297018,0.729931177755151
"unscreened",894,42,"GOS",0.552302085435213,0.724615840026712
"unscreened",894,43,"MLR",0.563176602630827,0.698241821038023
"unscreened",894,43,"BCS",0.539359499476941,0.680196150704804
"unscreened",894,43,"GOS",0.527632332927103,0.664725568696449
"unscreened",894,44,"MLR",0.565388757852794,0.726267480482351
"unscreened",894,44,"BCS",0.547781460161327,0.716045458235902
"unscreened",894,44,"GOS",0.534228375733372,0.702037467641834
"unscreened",894,45,"MLR",0.550133271023278,0.702125016210367
"unscreened",894,45,"BCS",0.53034219072934,0.695173183939119
"unscreened",894,45,"GOS",0.527173461266914,0.693025004248178
"unscreened",894,46,"MLR",0.568706000901193,0.719387147781018
"unscreened",894,46,"BCS",0.541544143337673,0.692433812372998
"unscreened",894,46,"GOS",0.53062788478422,0.683935774979063
"unscreened",894,47,"MLR",0.553379743048712,0.7194229295353
"unscreened",894,47,"BCS",0.531538135607577,0.699219712631041
"unscreened",894,47,"GOS",0.519847560465149,0.690130025282006
"unscreened",894,48,"MLR",0.558002469843652,0.71544465383931
"unscreened",894,48,"BCS",0.539425090983611,0.703278355943111
"unscreened",894,48,"GOS",0.537804715965439,0.70066015236602
"unscreened",894,49,"MLR",0.542030258808182,0.683698498284424
"unscreened",894,49,"BCS",0.5097677578655,0.655858020641467
"unscreened",894,49,"GOS",0.502409643095804,0.649398398400754
"unscreened",894,50,"MLR",0.562234877760667,0.722569238089803
"unscreened",894,50,"BCS",0.549487778376149,0.708891300803737
"unscreened",894,50,"GOS",0.53673325906304,0.697190321605125
