"SampleID","Lon","Lat","Cr_ppm","Cu_ppm","y"
444,118.5603089,-25.07145768,226,43,5.42053499927229
445,118.5630599,-24.81684642,448,52,6.10479323241498
446,118.5640596,-24.52473607,307,61,5.7268477475872
447,118.56423,-24.89794669,297,57,5.6937321388027
448,118.5648392,-25.1446076,262,39,5.5683445037611
449,118.566128,-25.01886775,213,34,5.36129216570943
450,118.5661696,-24.64910607,49.5,4,3.90197266957464
451,118.5669396,-24.48949607,157,82,5.05624580534831
452,118.569119,-25.08331769,130,46,4.86753445045558
453,118.5781396,-24.67406608,328,125,5.79301360838414
454,118.5808399,-24.85042658,289,61,5.66642668811243
455,118.5832196,-24.64937606,55.5,18.5,4.01638302075239
456,118.5856196,-25.17128759,199,30,5.29330482472449
457,118.5864796,-24.48205606,288,49,5.66296048013595
458,118.5865796,-24.64564606,65.5,3,4.18205014264121
459,118.5868997,-25.20156743,244,33,5.4971682252932
460,118.5912796,-24.66251607,169,73,5.12989871492307
461,118.5912797,-24.74587618,168,31,5.12396397940326
462,118.5946097,-24.72434612,492,85,6.19847871649231
463,118.595941,-24.96372714,272,59,5.605802066296
464,118.5973696,-24.52268605,256,60,5.54517744447956
465,118.5999899,-24.87031669,387,46,5.95842469302978
466,118.6004805,-25.0196974,252,45,5.52942908751142
467,118.6019297,-24.89020682,195,51,5.27299955856375
468,118.6051996,-24.63422604,396,83,5.98141421125448
469,118.6067096,-24.59804603,256,73,5.54517744447956
470,118.6067396,-25.14810762,256,48,5.54517744447956
471,118.6079904,-25.05419741,370,48,5.91350300563827
472,118.6103497,-25.2016675,444,50,6.09582456243222
473,118.6118498,-24.76935626,158,26,5.06259503302697
474,118.6122696,-25.16668759,229,32,5.43372200355424
475,118.6138095,-24.92391722,192,71,5.25749537202778
476,118.6151297,-25.08792762,145,34,4.97673374242057
477,118.6161409,-24.99542728,503,92,6.22059017009974
478,118.6188098,-24.81996647,172,44,5.14749447681345
479,118.6310696,-24.59435604,456,65,6.12249280951439
480,118.6342097,-24.72856613,392,75,5.97126183979046
481,118.6384896,-24.89500689,137,69,4.91998092582813
482,118.6396402,-25.08724752,167,46,5.11799381241676
483,118.6406099,-25.16631743,348,39,5.85220247977447
484,118.6423311,-25.05611731,232,38,5.44673737166631
485,118.6449214,-24.96921712,298,61,5.6970934865054
486,118.6486796,-24.7078361,266,105,5.5834963087817
487,118.6489798,-24.79379637,374,56,5.92425579741453
488,118.6519396,-24.67010604,180,58,5.19295685089021
489,118.6529496,-24.63254603,181,34,5.19849703126583
490,118.6532497,-24.87943682,102,118,4.62497281328427
491,118.6541098,-24.81859648,216,37,5.37527840768417
492,118.6547098,-24.84908665,274,42,5.61312810638807
493,118.6582297,-24.73080613,60,5,4.0943445622221
494,118.6585298,-24.92608705,190,53,5.24702407216049
495,118.6629501,-25.14855743,229,41,5.43372200355424
496,118.6652696,-24.60055604,161,9,5.08140436498446
