"y","pH_b9t0.9","pH_b9t0.7","NDVI_b9t0.1","pH_b3t0.9","NDVI_b5t0.1","NDVI_b7t0.4","pH_b1t1","Water_b9t1","Road_b9t0.8","SOC_b9t1"
4.62497281328427,5.609801316,5.4675857887,1.6024480623,5.6227656207,1.621433071,1.844880557,5.49829304,28.67959613,11.651859372,0.921833611
4.34380542185368,5.7189524336,5.5391375068,1.6156421651,5.617699268,1.65979059,1.9091621946,5.492730131,28.67959613,8.49797647,0.904479165
3.98898404656427,5.5612393672,5.4408385109,1.4874289853,5.5852922688,1.548237818,1.705188235,5.551439962,28.67959613,18.414957086,0.921833611
3.73766961828337,5.7715998704,5.6634950831,1.6540597466,5.7101013578,1.7941095648,1.9888077086,5.55175562,27.30987098,6.1832117566,0.888506577
4.78749174278205,5.6126029968,5.5394748958,1.4460635866,5.5779396076,1.4679405147,1.6567920576,5.5213314,19.34932313,21.568015622,0.870588894
4.18965474202643,5.5669672351,5.4537226833,1.5564157013,5.4409774798,1.6703635466,1.80144399,5.423825346,28.67959613,15.190830888,0.921833611
4.98360662170834,5.6061600226,5.4931560222,1.5075920312,5.5087744578,1.4024686774,1.623710315,5.508938613,26.06683531,19.795368628,0.936481867
4.47733681447821,5.6380373326,5.535500831,1.5230753378,5.4607205662,1.5682783056,1.718156522,5.324781684,23.13654978,20.291010484,0.951386028
4.02535169073515,5.6171777992,5.548375369,1.4670442938,5.583297016,1.57364721,1.6712769022,5.537368453,19.55371859,18.706231526,0.825019899
4.78749174278205,5.5917703645,5.4592935205,1.4708852515,5.5842885586,1.4963976365,1.627476504,5.554648615,28.34370006,18.83177671,0.911064342
5.71702770140622,5.6779615329,5.6141610089,1.8061420459,5.7013034762,2.0579403442,2.2820532314,5.716386851,12.41925493,19.837220762,0.951386028
4.77068462446567,5.6298631707,5.5204197118,1.4901897353,5.4537862346,1.3861486536,1.611091921,5.493124353,27.90670576,19.395911948,0.892725551
4.9416424226093,5.6550748026,5.5940369458,1.6015412868,5.51399606,1.6502082524,1.8976772476,5.434339176,20.78111287,21.168576338,0.951386028
4.65396035015752,5.5827048778,5.4960539602,1.4729237292,5.581301863,1.4835271896,1.6420420404,5.51401017,19.34932313,24.459296064,0.900972261
3.89182029811063,5.6132268556,5.5407231148,1.4992421946,5.5756858493,1.4825768269,1.7016595912,5.501708448,19.79010639,19.412876272,0.834380729
4.38202663467388,5.6371813841,5.5273314145,1.4846096219,5.6401726984,1.5021798185,1.6511703524,5.686987507,28.34370006,18.815928298,0.893898211
5.15329159449778,5.7687279505,5.6361292365,1.7575933645,5.8435664281,1.8042361738,1.992737602,5.623656258,16.522518,16.19206032,0.900382024
4.35670882668959,5.7817862472,5.6816665626,1.7348068472,5.8712381051,1.6823678885,1.9345522078,5.888109598,19.93451499,13.03168071,0.900382024
4.8283137373023,5.784984427,5.687809901,1.6385674335,5.7808790011,1.6467465016,1.9310487314,5.774486363,23.86921323,9.525071204,0.900382024
4.57471097850338,5.6319378766,5.5531445008,1.5610041084,5.6615779605,1.6460347261,1.816018658,5.598883373,23.69887807,20.966338546,0.951386028
4.04305126783455,5.6237554772,5.5507439196,1.4893951677,5.6343258385,1.534494116,1.7011462404,5.661957059,20.65836425,16.51669231,0.825019899
3.61091791264422,5.6126450044,5.4880463358,1.5507527694,5.528755751,1.566354927,1.760229156,5.382062084,28.67959613,13.996594182,0.908098932
4.9416424226093,5.6961508067,5.4803426701,1.8376306999,5.54690729,1.8727263972,2.036532762,5.460575637,12.27946706,20.451579422,0.901782384
5.7037824746562,5.6172568214,5.4821879288,1.537357139,5.627129443,1.5468683406,1.734663711,5.688738039,28.67959613,16.28460815,0.893898211
4.66343909411207,5.6571401283,5.561920243,1.4874056098,5.5054056338,1.4575137305,1.6519620116,5.36891719,27.9222624,19.436823524,0.892725551
3.8286413964891,5.7461113059,5.6370578058,1.5314355243,5.7843998308,1.594446525,1.8303655996,5.741220775,27.85941906,6.3900963128,0.88618617
4.98360662170834,5.7195295581,5.5610845128,1.5141358867,5.7180284772,1.5441393252,1.7498402604,5.784681559,28.67959613,6.2451408644,0.893898211
3.49650756146648,5.5328135222,5.4445859566,1.8693171378,5.394926824,1.8376091215,2.037053064,5.449071078,9.314052547,24.468314044,0.901782384
4.80402104473326,5.577657733,5.478998873,1.527833619,5.576511714,1.5290178488,1.8085204682,5.498395351,19.34932313,26.22577069,0.900972261
5.15329159449778,5.6480479441,5.4825121361,1.5325190367,5.6647455594,1.5503502401,1.7466233588,5.46190889,28.67959613,9.4090004062,0.893898211
3.04452243772342,5.5618499494,5.4579091286,1.5551872622,5.4276357618,1.6056568408,1.8649217858,5.428737816,17.68139911,26.391705908,0.900972261
3.80666248977032,5.530643435,5.4098898212,1.782512008,5.5298063375,1.8345789925,1.9984151316,5.581372454,12.42840523,26.475882516,0.901782384
5.24174701505964,5.6776740304,5.6291616691,1.6860344245,5.6309928394,1.7840103056,1.9994498116,5.603947265,18.79021453,21.35256654,0.951386028
4.31748811353631,5.6551483935,5.5696745423,1.5051343862,5.6736270615,1.5285076106,1.7384001104,5.64556086,26.33246226,20.318684092,0.923485506
5.60947179518496,5.6860084927,5.6401691057,1.7650838497,5.6896113722,1.7788369396,2.1726668142,5.663650155,14.35352997,21.195820426,0.951386028
4.35670882668959,5.5772102888,5.4969764432,1.499346277,5.4798359228,1.478051461,1.64983533,5.428587097,19.34932313,22.571999732,0.900972261
4.88280192258637,5.670646882,5.4677758822,1.7894906928,5.4935825976,1.8661025405,2.0262195142,5.577034749,14.51193072,20.16864978,0.900382024
3.87120101090789,5.478209566,5.390561354,1.751976583,5.5219959494,1.786533865,1.954652388,5.524949491,11.6976796,26.675188898,0.901852162
