"Lon","Lat","Elevation"
118.9048461,-25.30841537,510.2066839
118.9093506,-25.30841537,511.1504294
118.9138551,-25.30841537,512.1444387
118.9183596,-25.30841537,513.1771836
118.9228641,-25.30841537,514.7012387
118.9273686,-25.30841537,516.2751866
118.9318731,-25.30841537,516.6891803
118.9363776,-25.30841537,516.896103
118.9408821,-25.30841537,517.7941463
118.9453867,-25.30841537,518.6922775
118.9498912,-25.30841537,520.361221
118.9543957,-25.30841537,522.8434323
118.9589002,-25.30841537,524.6610368
118.9634047,-25.30841537,524.1119838
118.9679092,-25.30841537,523.4992633
118.9724137,-25.30841537,522.3048322
118.9769182,-25.30841537,522.5065421
118.9814227,-25.30841537,522.594802
118.3778191,-25.30391087,495.0083099
118.3823236,-25.30391087,496.2883785
118.3868281,-25.30391087,494.8807039
118.3913326,-25.30391087,495.2595947
118.3958371,-25.30391087,495.3766321
118.4003416,-25.30391087,494.2869925
118.4048461,-25.30391087,492.7638487
118.4093506,-25.30391087,491.4816534
118.4138551,-25.30391087,489.8268265
118.4183596,-25.30391087,488.7285622
118.4228641,-25.30391087,487.779934
118.4273686,-25.30391087,486.8373052
118.4318731,-25.30391087,486.5375319
118.4363776,-25.30391087,486.200284
118.4408821,-25.30391087,485.550497
118.4453867,-25.30391087,484.4350789
118.4498912,-25.30391087,483.0894126
118.4543957,-25.30391087,481.9428841
118.4589002,-25.30391087,481.0778193
118.4634047,-25.30391087,480.6624248
118.4679092,-25.30391087,480.8620921
118.4724137,-25.30391087,481.2331684
118.4769182,-25.30391087,481.5194286
118.4814227,-25.30391087,481.4481804
118.4859272,-25.30391087,481.6509296
118.4904317,-25.30391087,482.1437767
118.4949362,-25.30391087,482.3916381
118.4994407,-25.30391087,482.8633155
118.5039452,-25.30391087,483.1350598
118.5084497,-25.30391087,483.6203103
118.5129542,-25.30391087,483.8001591
118.5174587,-25.30391087,484.1131488
118.5219632,-25.30391087,484.6805026
118.5264677,-25.30391087,485.1083231
118.5309722,-25.30391087,485.4065212
118.5354767,-25.30391087,485.0222771
118.5399812,-25.30391087,485.0000326
118.5444857,-25.30391087,485.2368468
118.5489903,-25.30391087,485.4751162
118.5534948,-25.30391087,487.268726
118.5579993,-25.30391087,490.0523453
118.5625038,-25.30391087,496.2222667
118.5670083,-25.30391087,499.4803761
118.5715128,-25.30391087,509.1703449
118.5760173,-25.30391087,506.594625
118.5805218,-25.30391087,501.7167591
118.5850263,-25.30391087,498.0466184
118.5895308,-25.30391087,496.0976382
118.5940353,-25.30391087,495.6373187
118.5985398,-25.30391087,495.5935858
118.6030443,-25.30391087,496.2149919
118.6075488,-25.30391087,496.0898362
118.6120533,-25.30391087,495.9001894
118.6165578,-25.30391087,496.1029835
118.6210623,-25.30391087,495.8128507
118.6255668,-25.30391087,495.9736049
118.6300713,-25.30391087,495.9594799
118.6345758,-25.30391087,495.8497524
118.6390803,-25.30391087,495.9868626
118.6435848,-25.30391087,496.885916
118.6480894,-25.30391087,497.4048768
118.6525939,-25.30391087,497.8414256
118.6570984,-25.30391087,498.887075
118.6616029,-25.30391087,500.1639143
118.6661074,-25.30391087,501.9223785
118.6706119,-25.30391087,502.8822389
118.6751164,-25.30391087,502.8952357
118.6796209,-25.30391087,503.3129345
118.6841254,-25.30391087,503.2227255
118.6886299,-25.30391087,504.7444405
118.6931344,-25.30391087,505.588293
118.6976389,-25.30391087,507.6517941
118.7021434,-25.30391087,515.729717
